news_article_title,Partnership,is_student_reported,url
Orange County’s Push for its First Veterans Cemetery Gains Momentum,,False,https://voiceofoc.org/2024/07/orange-countys-push-for-its-first-veterans-cemetery-gains-momentum/
Laguna Beach Considers Asking Voters to Increase Hotel Tax,,False,https://voiceofoc.org/2024/07/laguna-beach-considers-asking-voters-to-increase-hotel-tax/
A Time For Chicanos and Chicanas,,False,https://voiceofoc.org/2023/08/a-time-for-chicanos-and-chicanas/
Fountain Valley Looks to Regulate Sober Living Homes,Voice of OC,True,https://voiceofoc.org/2023/11/fountain-valley-looks-to-regulate-sober-living-homes/
--Fountain Valley Allows Digital Freeway Advertising; Will Drivers be Distracted?,Voice of OC,False,https://voiceofoc.org/2024/05/fountain-valley-allows-digital-freeway-advertising-will-drivers-be-distracted/
-- La Habra’s Rent Relief Program for Mobile Home Residents Sees Low Turnout Rate,Voice of OC,True,https://voiceofoc.org/2023/12/la-habras-rent-relief-program-for-mobile-home-residents-sees-low-turnout-rate/
--Rancho Santa Margarita Moves Forward With District Election Map,Voice of OC,True,https://voiceofoc.org/2023/11/rancho-santa-margarita-moves-forward-with-district-election-map/
-- Fountain Valley to Test Out a Four-Day Work Week at City Hall,Voice of OC,False,https://voiceofoc.org/2024/06/fountain-valley-to-test-out-a-four-day-work-week-at-city-hall/
-- OC Library Visits Climb as Irvine Looks to Leave County Library Network,Voice of OC,True,https://voiceofoc.org/2024/06/oc-library-visits-climb-as-irvine-looks-to-leave-county-library-network/
"-- La Habra Car Crashes Are Up, City Officials Scramble to Combat Spike",Voice of OC,True,https://voiceofoc.org/2021/12/la-habra-car-crashes-are-up-city-officials-scramble-to-combat-spike/
-- La Habra Will Display Phrase ‘In God We Trust’ in City Council Chambers,Voice of OC,True,https://voiceofoc.org/2021/05/la-habra-will-display-phrase-in-god-we-trust-in-city-council-chambers/
La Habra to Require Affordable Units in Developments of 10 or More Homes,Voice of OC,True,https://voiceofoc.org/2021/04/la-habra-to-require-affordable-units-in-developments-of-10-or-more-homes/
Newport Beach Permits Wine Tasting Rooms to Operate Within The City’s Industrial Zone,Voice of OC,True,https://voiceofoc.org/2021/04/newport-beach-permits-wine-tasting-rooms-to-operate-within-the-citys-industrial-zone/
Fullerton Repeals Ordinance Allowing Cannabis Stores; La Habra and Costa Mesa Push Forward With Regulations,Voice of OC,True,https://voiceofoc.org/2021/03/fullerton-repeals-ordinance-allowing-cannabis-stores-la-habra-and-costa-mesa-push-forward-with-regulations/
Placentia Small Businesses Set to Receive Grants to Help With Pandemic Relief,Voice of OC,True,https://voiceofoc.org/2021/03/placentia-small-businesses-set-to-receive-grants-to-help-with-pandemic-relief/
Macon's 32nd Juneteenth events salute ‘Black Girl Magic' and Native American parallels,Georgia Public Broadcasting,False,https://www.gpb.org/news/2024/06/14/macons-32nd-juneteenth-events-salute-black-girl-magic-and-native-american-parallels
"Racial barrier breakers, community leaders to be honored",Georgia Public Broadcasting,False,https://www.gpb.org/news/2024/06/14/racial-barrier-breakers-community-leaders-be-honored
"‘I hope never to be in this position again,' elections board member says of no Saturday voting",Georgia Public Broadcasting,False,https://www.gpb.org/news/2024/06/07/i-hope-never-be-in-position-again-elections-board-member-says-of-no-saturday-voting
Tour Macon’s new Fine Fettle Georgia medical cannabis plant,Georgia Public Broadcasting,False,https://www.gpb.org/news/2024/05/31/tour-macons-new-fine-fettle-georgia-medical-cannabis-plant
Macon lands 600 jobs in $418M industry expansion,Georgia Public Broadcasting,False,https://www.gpb.org/news/2024/05/23/macon-lands-600-jobs-in-418m-industry-expansion
Voter beware of Macon-Bibb ballot confusion,Georgia Public Broadcasting,False,https://www.gpb.org/news/2024/05/20/voter-beware-of-macon-bibb-ballot-confusion
Macon Museum's Bat Cave Offers A Unique Animal Experience,Georgia Public Broadcasting,True,https://www.gpb.org/news/2021/06/21/macon-museums-bat-cave-offers-unique-animal-experience
A Macon day camp introduces kids to the ethics of AI,Georgia Public Broadcasting,True,https://www.gpb.org/news/2024/07/01/macon-day-camp-introduces-kids-the-ethics-of-ai
"As Reno’s Latino population diversifies, so does its food scene",KUNR,True,https://www.kunr.org/local-stories/2023-08-25/as-renos-latino-population-diversifies-so-does-its-food-scene
"Hip-hop in Reno battles to grow, despite continued setbacks 50 years after its founding",KUNR,True,https://www.kunr.org/local-stories/2023-09-01/hip-hop-reno-battles-grow-despite-continued-setbacks-50-years-after-founding
The hills are alive with the sound of recreation — and a study shows animals react to that noise,KUNR,False,https://www.kunr.org/2024-07-05/the-hills-are-alive-with-the-sound-of-recreation-and-a-study-shows-animals-react-to-that-noise
"Western governors release plans, policies to help ‘decarbonize the West’ amid climate change",KUNR,False,https://www.kunr.org/local-stories/2024-06-13/western-governors-plans-policies-decarbonize-west-climate-change
Rastreadores de contactos bilingües hacen frente a fallas en mensajes de salud pública,KUNR,True,https://www.kunr.org/en-espanol/2021-01-22/rastreadores-de-contactos-bilingues-hacen-frente-a-fallas-en-mensajes-de-salud-publica
Denison Class of 2020 members return for graduation celebration COVID-19 took from them,newarkadvocate,True,https://www.newarkadvocate.com/story/news/2022/06/08/denison-2020-grads-returning-commencement-covid-19-took-them/7505490001/
Why didn't 'Morning Joe' air on Monday? MSNBC says show will resume normally Tuesday,newarkadvocate,False,https://www.newarkadvocate.com/story/entertainment/tv/2024/07/15/msnbc-morning-joe-pulled-monday/74408392007/
Women’s group founded in Granville will fight for abortion access in ‘a world without Roe v. Wade’,newarkadvocate,True,https://www.newarkadvocate.com/story/news/local/2022/06/27/womens-group-granville-fight-abortion-access/7723545001/
"Along the Great Salt Lake’s shores, a podcast is telling stories of peril and hope",The Salt Lake Tribune,True,https://www.sltrib.com/news/environment/2024/06/02/along-great-salt-lakes-shores/
"Utah cohousing community shares shovels, meals and a love for Great Salt Lake",The Salt Lake Tribune,True,https://www.sltrib.com/amplify-utah/2024/05/20/utah-cohousing-community-shares/
New film fuses art and Indigenous voices to spotlight Great Salt Lake’s plight,The Salt Lake Tribune,True,https://www.sltrib.com/amplify-utah/2024/04/30/new-film-fuses-art-indigenous/
"A Utah gardening nonprofit helps homeless women put down roots, grow a better life",The Salt Lake Tribune,False,https://www.sltrib.com/news/2024/07/15/utah-gardening-nonprofit-helps/