date,student_articles,total_articles,nonstudent_articles
2023-01-03,0,0,0
2023-01-08,0,0,0
2023-01-11,0,0,0
2023-01-23,0,0,0
2023-02-09,0,0,0
2023-02-16,0,0,0
2023-02-20,0,0,0
2023-02-21,0,0,0
2023-02-25,0,0,0
2023-02-28,0,0,0
2023-03-22,0,0,0
2023-03-27,0,0,0
2023-03-29,0,0,0
2023-04-03,0,0,0
2023-04-04,0,0,0
2023-04-10,0,0,0
2023-04-11,0,0,0
2023-04-22,0,0,0
2023-04-29,0,0,0
2023-05-08,0,0,0
2023-06-07,0,0,0
2023-06-15,0,3,3
2023-06-25,0,0,0
2023-07-16,0,0,0
2023-07-21,1,1,0
2023-11-09,0,0,0
2023-11-16,0,0,0
2023-11-20,0,0,0
2023-11-22,0,0,0
2023-11-27,0,0,0
2023-11-28,0,0,0
2023-11-30,0,0,0
2023-12-01,0,0,0
2023-12-03,0,0,0
2023-12-04,0,0,0
2023-12-05,0,0,0
2023-12-08,0,0,0
2023-12-11,0,0,0
2023-12-12,1,1,0
2023-12-15,1,1,0
2023-12-19,0,0,0
2023-12-21,0,0,0
2023-12-22,0,1,1
2023-12-26,0,0,0
2023-12-28,0,0,0
2023-12-29,0,0,0
2024-01-02,0,1,1
2024-01-03,0,1,1
2024-01-04,0,0,0
2024-01-05,0,0,0
2024-01-10,0,0,0
2024-01-12,0,0,0
2024-01-26,0,0,0
2024-01-30,0,0,0
2024-02-01,0,0,0
2024-02-02,0,0,0
2024-02-05,0,0,0
2024-02-06,0,0,0
2024-02-07,0,0,0
2024-02-15,0,0,0
2024-02-17,0,1,1
2024-02-19,0,0,0
2024-02-20,0,0,0
2024-02-21,0,0,0
2024-02-23,0,0,0
2024-02-27,1,1,0
2024-02-28,1,1,0
2024-02-29,0,0,0
2024-03-01,0,0,0
2024-03-06,0,1,1
2024-03-07,0,0,0
2024-03-08,0,0,0
2024-03-09,0,0,0
2024-03-13,0,0,0
2024-03-14,0,0,0
2024-03-18,0,0,0
2024-03-19,0,0,0
2024-03-20,1,1,0
2024-03-21,1,1,0
2024-03-22,0,0,0
2024-03-27,0,0,0
2024-03-28,0,0,0
2024-04-01,0,0,0
2024-04-02,1,1,0
2024-04-03,0,6,6
2024-04-04,0,0,0
2024-04-05,1,1,0
2024-04-08,0,0,0
2024-04-09,1,1,0
2024-04-10,0,2,2
2024-04-11,0,0,0
2024-04-12,0,0,0
2024-04-14,0,0,0
2024-04-15,0,0,0
2024-04-16,0,0,0
2024-04-17,2,2,0
2024-04-18,0,1,1
2024-04-19,0,0,0
2024-04-20,0,1,1
2024-04-21,0,0,0
2024-04-22,0,1,1
2024-04-23,1,1,0
2024-04-24,0,6,6
2024-04-25,2,3,1
2024-04-26,0,0,0
2024-04-27,0,0,0
2024-04-28,0,0,0
2024-04-29,0,2,2
2024-04-30,0,0,0
2024-05-01,2,4,2
2024-05-02,0,3,3
2024-05-03,0,0,0
2024-05-04,0,0,0
2024-05-05,0,0,0
2024-05-06,0,1,1
2024-05-07,5,6,1
2024-05-08,0,3,3
2024-05-09,0,1,1
2024-05-10,0,1,1
2024-05-13,0,0,0
2024-05-14,0,0,0
2024-05-15,0,1,1
2024-05-16,0,0,0
2024-05-17,1,1,0
2024-05-18,0,0,0
2024-05-20,0,1,1
2024-05-21,5,5,0
2024-05-22,1,1,0
2024-05-23,0,0,0
2024-05-24,0,0,0
2024-05-25,0,0,0
2024-05-27,0,0,0
2024-05-28,0,2,2
2024-05-29,0,3,3
2024-05-30,0,0,0
2024-05-31,0,0,0
2024-06-01,0,0,0
2024-06-03,1,1,0
2024-06-04,0,1,1
2024-06-05,1,2,1
2024-06-06,0,1,1
2024-06-07,0,0,0
2024-06-10,0,0,0
2024-06-11,0,1,1
2024-06-12,1,2,1
2024-06-13,1,1,0
2024-06-14,0,0,0
2024-06-17,0,0,0
2024-06-18,2,2,0
2024-06-19,1,1,0
2024-06-20,0,0,0
2024-06-21,5,5,0
2024-06-24,0,0,0
2024-06-25,0,1,1
2024-06-26,0,0,0
2024-06-27,0,0,0
2024-06-28,0,0,0
2024-07-01,0,0,0
2024-07-02,0,2,2
2024-07-03,0,2,2
2024-07-04,0,0,0
2024-07-05,0,0,0
2024-07-06,0,0,0
2024-07-07,0,1,1
2024-07-08,0,1,1
2024-07-09,2,4,2
2024-07-10,3,3,0
2024-07-11,2,10,8
2024-07-12,1,1,0
2024-07-13,3,6,3
2024-07-14,0,2,2
2024-07-15,1,1,0
2024-07-16,0,2,2
2024-07-17,12,17,5
2024-07-18,7,16,9
2024-07-19,0,6,6
2024-07-20,1,3,2
2024-07-21,1,1,0
2024-07-22,0,2,2
2024-07-23,9,27,18
2024-07-24,14,39,25
2024-07-25,21,52,31
2024-07-26,14,48,34
2024-07-27,6,14,8
2024-07-28,19,35,16
2024-07-29,45,154,109