date,student_articles,total_articles,non_student articles
2023-01-03,1,1,0
2023-01-08,0,1,1
2023-01-11,0,1,1
2023-01-23,0,2,2
2023-02-09,1,1,0
2023-02-16,0,1,1
2023-02-20,1,2,1
2023-02-21,0,1,1
2023-02-25,0,1,1
2023-02-28,0,1,1
2023-03-22,1,2,1
2023-03-27,0,1,1
2023-03-29,1,1,0
2023-04-03,0,1,1
2023-04-04,0,1,1
2023-04-10,1,1,0
2023-04-11,0,1,1
2023-04-22,1,1,0
2023-04-29,0,1,1
2023-05-08,0,1,1
2023-06-07,1,1,0
2023-06-15,6,10,4
2023-06-25,0,1,1
2023-07-16,1,1,0
2023-07-21,1,1,0
2023-11-09,1,1,0
2023-11-20,1,1,0
2023-11-22,1,1,0
2023-11-27,1,1,0
2023-11-28,1,1,0
2023-11-30,2,2,0
2023-12-01,1,1,0
2023-12-03,1,1,0
2023-12-04,1,1,0
2023-12-05,1,1,0
2023-12-08,1,1,0
2023-12-11,0,1,1
2023-12-12,2,3,1
2023-12-19,1,2,1
2023-12-21,0,1,1
2023-12-22,1,1,0
2023-12-26,1,1,0
2023-12-28,1,1,0
2023-12-29,1,1,0
2024-01-02,1,1,0
2024-01-03,5,6,1
2024-01-04,2,2,0
2024-01-05,2,3,1
2024-01-10,1,1,0
2024-01-12,2,3,1
2024-01-26,0,1,1
2024-01-30,1,2,1
2024-02-01,0,1,1
2024-02-02,1,1,0
2024-02-05,1,2,1
2024-02-06,0,1,1
2024-02-07,1,1,0
2024-02-15,1,1,0
2024-02-17,1,1,0
2024-02-19,0,1,1
2024-02-20,1,1,0
2024-02-21,1,2,1
2024-02-23,1,2,1
2024-02-27,2,2,0
2024-02-28,2,2,0
2024-02-29,1,2,1
2024-03-01,2,2,0
2024-03-06,0,2,2
2024-03-07,2,2,0
2024-03-08,0,2,2
2024-03-09,0,1,1
2024-03-13,1,1,0
2024-03-14,0,1,1
2024-03-18,0,1,1
2024-03-19,1,1,0
2024-03-20,1,1,0
2024-03-21,0,2,2
2024-03-22,1,1,0
2024-04-01,2,2,0
2024-04-02,0,3,3
2024-04-03,3,12,9
2024-04-04,1,5,4
2024-04-05,1,1,0
2024-04-08,0,3,3
2024-04-09,2,4,2
2024-04-10,2,24,22
2024-04-11,2,4,2
2024-04-12,0,1,1
2024-04-14,2,2,0
2024-04-15,1,1,0
2024-04-16,0,7,7
2024-04-17,9,20,11
2024-04-18,4,10,6
2024-04-19,0,3,3
2024-04-20,0,3,3
2024-04-21,1,1,0
2024-04-22,3,12,9
2024-04-23,3,8,5
2024-04-24,3,16,13
2024-04-25,7,20,13
2024-04-26,2,2,0
2024-04-27,1,1,0
2024-04-28,1,1,0
2024-04-29,5,20,15
2024-04-30,9,11,2
2024-05-01,10,23,13
2024-05-02,6,13,7
2024-05-03,11,15,4
2024-05-04,1,1,0
2024-05-05,1,1,0
2024-05-06,6,10,4
2024-05-07,1,11,10
2024-05-08,1,11,10
2024-05-09,8,15,7
2024-05-10,2,2,0
2024-05-13,15,18,3
2024-05-14,1,4,3
2024-05-15,7,18,11
2024-05-16,1,3,2
2024-05-17,3,4,1
2024-05-18,0,1,1
2024-05-20,0,1,1
2024-05-21,7,9,2
2024-05-22,8,17,9
2024-05-23,15,17,2
2024-05-24,1,7,6
2024-05-25,2,2,0
2024-05-27,1,1,0
2024-05-28,1,4,3
2024-05-29,4,19,15
2024-05-30,0,9,9
2024-05-31,1,5,4
2024-06-01,1,1,0
2024-06-03,1,14,13
2024-06-04,0,5,5
2024-06-05,0,19,19
2024-06-06,2,7,5
2024-06-07,2,4,2
2024-06-10,1,3,2
2024-06-11,1,2,1
2024-06-12,0,12,12
2024-06-13,0,4,4
2024-06-14,0,3,3
2024-06-17,2,6,4
2024-06-18,1,4,3
2024-06-19,0,3,3
2024-06-20,2,3,1
2024-06-21,6,6,0
2024-06-24,1,3,2
2024-06-25,2,9,7
2024-06-26,1,10,9
2024-06-27,5,8,3
2024-06-28,1,4,3
2024-07-01,0,6,6
2024-07-02,2,10,8
2024-07-03,1,5,4
2024-07-04,1,1,0
2024-07-05,0,1,1
2024-07-06,0,1,1
2024-07-07,1,1,0
2024-07-08,1,8,7
2024-07-09,5,15,10
2024-07-10,1,5,4
2024-07-11,1,4,3
2024-07-12,0,6,6
2024-07-13,2,6,4
2024-07-15,2,14,12
2024-07-16,11,25,14
2024-07-17,21,59,38
2024-07-18,8,33,25
2024-07-19,8,34,26
2024-07-20,1,3,2
2024-07-21,4,9,5
2024-07-22,9,36,27
2024-07-23,4,26,22
2024-07-24,11,76,65
2024-07-25,18,95,77
2024-07-26,14,137,123
2024-07-27,1,21,20
2024-07-28,3,37,34
2024-07-29,27,106,79
2024-07-30,17,249,232
2024-07-31,35,767,732
2024-08-01,43,1244,1201
2024-08-02,0,2,2